"id";"name_school";"name_school_kz";"region_id";"class";"kvota_kz";"kvota_ru";"address";"address_kz";"phone";"site";"email"
"20";"КГУ «Специализированная мужская школа-лицей-интернат «Жас Улан» имени Ш. Уалиханова для одаренных детей» Управления образования Восточно-Казахстанской области";"Шығыс Қазақстан облысы білім басқармасының ""Дарынды балаларға арналған Ш.Уәлиханов атындағы ""Жас Ұлан"" арнайы ерлер мектеп- лицей-интернаты"" КММ";"5";"5";"25";"25";"Восточно-Казахстанская область, г.Семей ул.Шугаева, 159А";"Шығыс-Қазақстан облысы, Семей қаласы, Шұғаев көшесі, 159А";"8/7222/34-12-22";"http://zhasulan-semey.kz/";"semey_ylan95@mail.ru"
"21";"КГУ «Валеологическая специализированная школа-комплекс для одаренных детей» Управления образования Восточно-Казахстанской области";"Шығыс Қазақстан облысы білім басқармасының «Дарынды балаларға арналған валеологиялық мамандандырылған мектеп-кешені» КММ";"5";"1";"0";"40";"Восточно-Казахстанская область, г.Усть-Каменогорск, пр.Абая 11/1";"Шығыс-Қазақстан облысы, Өскемен қаласы, Абай даңғылы, 11/1";"8/7232/ 22-60-89";"http://valeo.mektebi.kz";"valeoschool@mail.ru"
"22";"ГУ «Специализированная школа для одаренных детей с обучением на трех языках» Управления образования Жамбылской области";"Жамбыл облысы әкімдігі білім басқармасының «Үш тілде оқытатын дарынды балаларға арналған мамандандырылған мектебі» КММ";"6";"7";"50";"25";"Жамбылская область, город Тараз, Толе би 22";"Жамбыл облысы,  Тараз қаласы, Толе би көшесі, 22";"8/7262/43-91-19";"http://taraz-arnaiy.mektebi.kz";"taraz_shod@mail.kz , taraz_shod@mail.ru"
"23";"ГУ «Специализированная школа-интернат «Дарын» для одаренных детей» Управления образования Жамбылской области";"Жамбыл облысы әкімдігі білім басқармасының «Дарынды балаларға арналған мамандандырылған «Дарын» мектеп-интернаты» КММ";"6";"7";"60";"20";"Жамбылская область, город Тараз, улица Сатбаева 27";"Жамбыл облысы,  Тараз қаласы,  Сәтбаев көшесі, 27";"8/7262/427231";"http://daryn-taraz.mektebi.kz";"Daryntaraz@mail.ru"
"24";"КГУ «Специализированный IT лицей-интернат для одаренных детей» Управления образования Жамбылской области";"Жамбыл облысы әкімдігі білім басқармасының «Дарынды балаларға арналған мамандандырылған IT лицей-интернаты» КММ";"6";"7";"40";"0";"Жамбылская область, город Тараз, 14 микрорайон, 31 здание";"Жамбыл облысы, Тараз қаласы, 14 шағын ауданы, 31 ғимарат";"8/7262/51-01-90";"J-itlyceum.kz";"it_taraz@mail.ru"
"25";"КГУ «Областная специализированная школа № 8 для одаренных детей» Управления образования Западно-Казахстанской области";"Батыс Қазақстан облысы білім басқармасының «Дарынды балаларға арналған мамандандырылған № 8 облыстық мектебі» КММ";"7";"5";"0";"75";"Западно-Казахстанская область, г. Уральск, ул. Самал 72";"Батыс-Қазақстан облысы, Орал қаласы, Самал көшесі, 72 үй";"8/7112/27-21-00";"http://8-mektep.kz";"zko_uralsk_sh_ 8@mail.ru"
"26";"КГУ «Областная специализированная школа-интернат для одаренных детей № 11 имени С. Сейфуллина» Управления образования Западно-Казахстанской области";"Батыс Қазақстан облысы білім басқармасының «Дарынды балаларға арналған С. Сейфуллин атындағы № 11 облыстық мамандандырылған мектеп-интернаты» КММ";"7";"7";"75";"0";"Западно-Казахстанская область, г. Уральск, ул. Мухит д. 37";"Батыс-Қазақстан облысы, Орал қаласы, Мұхит көшесі, 37 үй";"8/7112/50-62-73";"http://11-mektep.kz/";"okshikod11@mail.ru"
"27";"КГУ «Западно-Казахстанская областная специализированная школа-лицей-интернат информационных технологий для одаренных детей» Управления образования Западно-Казахстанской области";"Батыс Қазақстан облысы білім басқармасының «Батыс Қазақстан облыстық дарынды балаларға арналған мамандандырылған ақпараттық технологиялар мектеп-лицей-интернаты» КММ";"7";"7";"32";"16";"Западно-Казахстанская область, г. Уральск,  ул. Ескалиева, 107";"Батыс-Қазақстан облысы, Орал қаласы,  Есқалиева көшесі, 107 үй";"8/7112/51-42-43";"http://www.it-liceum.kz";"osshiod@mail.ru"
"28";"КГУ «Областная специализированная школа-гимназия -интернат для одаренных детей имени Абая» Управления образования Западно-Казахстанской области";"Батыс Қазақстан облысының білім басқармасының «Абай атындағы облыстық дарынды балаларға арналған мамандандырылған мектепгимназия-интернаты» КММ";"7";"7";"25";"0";"Западно-Казахстанская область, Теректинский район, село Подстепное, улица Советская";"Батыс-Қазақстан облысы, Теректі ауданы, Подстепное ауылы, Советская көшесі";"8/7113/23-65-08";"Tergimsh.edugov2.kz";"osshigod@mail.ru"
"29";"КГУ «Специализированная школа-интернат «Мурагер» Управления образования Карагандинской области";"Қарағанды облысы білім басқармасының «Мұрагер» мамандандырылған мектеп-интернаты» КММ";"8";"5";"25";"25";"г. Караганда, ул.Гоголя 46 а";"Қарағанды қаласы, Гоголя көшесі, 46 а үй";"8/7212/50-03-68";"schoolmurager.kz";"muragerkaraganda@rambler.ru"
"30";"КГУ «Специализированная школа-интернат имени Н. Нурмакова» Управления образования Карагандинской области";"Қарағанды облысы білім басқармасының «Н.Нұрмақов атындағы мамандандырылған мектеп-интернаты» КММ";"8";"5";"72";"0";"г. Караганда, Алиханова 36/2а";"Қарағанды қаласы, Алиханова, 36/2а үй";"8/7212/56-72-32";"nurmakov.org.kz";"nurmakov.krg@nur.kz"
"31";"КГУ «Специализированная школа-интернат «Дарын» Управления образования Карагандинской области";"Қарағанды облысы білім басқармасының «Дарын» мамандандырылған мектеп-интернаты» КММ";"8";"5";"50";"25";"г.Караганда, ул. Гапеева, 29/2";"Қарағанды қаласы, ул. Гапеева, 29/2";"8/7212/34-77-41, 8/7212/34-77-27";"schooldaryn.kz";"darynkrg@bk.ru"
"32";"КГУ «Специализированная школа-интернат имени Жамбыла» Управления образования Карагандинской области";"Қарағанды облысы білім басқармасының «Жамбыл атындағы мамандандырылған мектеп-интернаты» КММ";"8";"5";"75";"0";"г. Караганда, Мкр. 12, дом 13";"Қарағанды қаласы,  12 шағын аудан,  13 үй";"8/7212/45-16-49";"jambyl-school.kz";"krg_7mektep@mail.ru"
"33";"КГУ «Специализированная школа-интернат имени Абая» Управления образования Карагандинской области, города Жезказган";"Қарағанды облысы білім басқармасының Абай атындағы мамандандырылған мектеп-интернаты"" КММ, Жезқазған қаласы";"8";"5";"100";"0";"Карагандинская область, г. Жезказган, проспект Алашахана, 43-д";"Қарағанды облысы,  Жезқазған қаласы, Алашахан көшесі, 43-д";"8/7102/77-61-60";"Www.orkenzhez.kz";"Orkenschool@mail.ru"
"34";"КГУ «Специализированная школа-лицей-интернат «Информационных технологий» Управления образования Карагандинской области";"Қарағанды облысы білім басқармасының «Ақпараттық технологиялар» мамандандырылған мектеп-лицей-интернаты» КММ";"8";"5";"20";"20";"г.Караганда, ул.Колодезная, 9";"Қарағанды қаласы, Колодезная көшесі, 9 үй";"8/7212/37-64-22";"http://itlyceum.kz/";"info@itlyceum.kz"
"35";"КГУ «Специализированная школа-интернат «Зияткер» Управления образования Карагандинской области";"Қарағанды облысы білім басқармасының «Зияткер» мамандандырылған мектеп-лицей-интернаты  КММ, Балқаш қаласы";"8";"5";"50";"25";"Карагандинская область, город Балхаш, ул. Мира,3";"Қарағанды облысы, Балхаш қаласы,  Мира көшесі,3 үй";"8/7103/64-00-51, 66-51-49";"http://www.ziyatker.edu.kz/";"ziyatker_balkhash@mail.ru"
"36";"КГУ «Специализированная школа-интернат «Информационных технологий «Озат» Управления образования Карагандинской области, город Темиртау";"Қарағанды облысы білім басқармасының «Озат» ақпараттық технологиялар мамандандырылған мектеп-интернаты» КММ, Теміртау қаласы";"8";"5";"40";"20";"Карагандинская область, город Темиртау, 9 микрорайон, строение 77/1";"Қарағанды облысы,  Теміртау қаласы, 9 шағын ауданы,  77/1 ғимарат";"8/7213/41-47-07";"Ozat-scool.000webhostapp.com";"ozatt.school@gmail.com"
"37";"КГУ «Специализированная школа-лицей-интернат информационных технологий «Озат» Управления образования Костанайской области";"Қостанай облысы білім басқармасының «Озат» мамандандырылған ақпараттық технологиялар мектеп-лицей-интернаты» КММ";"9";"7";"24";"24";" г.Костанай, ул.Сибирская д.50";"Қостанай қаласы,  Сибирская көшесі, 50";"8/7142/28-44-26";"https://it-ozat.kz/ru/";"ozat_kst@mail.kz"
"38";"КГУ «Специализированная школа-интернат имени Ы. Алтынсарина» Управления образования Костанайской области";"Қостанай облысы білім басқармасының «Ы.Алтынсарин атындағы мамандандырылған мектеп-интернаты» КММ";"9";"5";"50";"0";"г. Костанай, ул.им.И.Алтынсарина,118";"Қостанай қаласы, Ы. Алтынсарин көшесі,118 үй";"8/7142/54-56-94";"http:// shodaltynsarin.kz";"ibrayshod@mail.ru"
"39";"КГУ «Областная школа-интернат для одаренных детей №4 имени Е. Ауельбекова» Управления образования Кызылординской области";"Қызылорда облысы білім басқармасының «Е. Әуелбеков атындағы № 4 облыстық дарынды балаларға арналған мектеп-интернаты» КММ";"10";"7";"50";"0";"г. Кызылорда, ул.Амангельды 25";"Қызылорда қаласы, Амангелді көшесі, 25";"8/7242/70-01-13";"odmi.kz";"odmi4@mail.ru"
"40";"КГУ «Областная школа-интернат №2 для одаренных детей» Управления образования Кызылординской области, город Аральск";"Қызылорда облысы білім басқармасының «№2 облыстық дарынды балаларға арналған лицей-интернаты» КММ, Арал қаласы";"10";"5";"25";"0";"г. Кызылорда, ул. Бактыбай батыра №127";"Қызылорда қаласы,  Бақтыбай батыр көшесі №127 үй";"8/7243/32-14-84";"http://2-aral.mektebi.kz";"edusan2kzaral@mai.ru"
"41";"ГУ «Областная специализированная школа-интернат для одаренных детей с углубленным изучением различных предметов» Управления образования Мангистауской области";"Маңғыстау облысы білім басқармасының «Түрлі пәндерді тереңдетіп оқытатын дарынды балаларға арналған облыстық мамандандырылған мектеп-интернаты» КММ";"11";"7";"75";"25";"Мангистауская область, г.Актау 32 б микр зд, 1";"Маңғыстау облысы, Ақтау қаласы, 32 б шағын ауданы, 1 ғимарат";"8/7292/ 60-94-16";"www.daryn.edus.kz";"omi_daryn@mail.ru"
"42";"ГУ «Гимназия № 3 для одаренных детей» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Дарынды балаларға арналған № 3 гимназия» ММ";"12";"5";"25";"25";"г. Павлодар, ул. Бухар Жырау, 19";"Павлодар қаласы, Бұқар Жырау көшесі, 19 үй";"8/7182/55-71-16";"gymnasium3.edu.kz";"gum_3_pavl@mail.ru"
"43";"ГУ «Специализированная школа «Жас дарын» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Жас дарын» мамандандырылған мектебі» ММ";"12";"5";"72";"0";"г. Павлодар, ул. Астана, 125";"Павлодар қаласы Астана көшесі, 125 үй";"8/7182/61-81-32";"jasdarynpvl.edu.kz";"gasdaryn@mail.ru"
"44";"ГУ «Специализированная общеобразовательная школа «Зерде» для одаренных детей с государственным языком обучения для одаренных детей» Управления образования Павлодарской области, акимата Павлодарской области";"Павлодар облысы әкімдігі Павлодар облысы білім басқармасының «Мемлекеттік тілде оқытатын дарынды балаларға арналған «Зерде» мамандандырылған жалпы білім беру мектебі» ММ, Екібастұз қаласы";"12";"5";"50";"0";"Павлодарская область, г. Экибастуз, ул. Бауыржан Момышұлы 97";"Павлодар облысы, Екібастұз қаласы,  Бауыржан Момышұлы көшесі, 97 үй";"8/7187/40-04-59,  40-04-59";"www.ekbzerde.edu.kz";"ekbzerde@mail.ru"
"45";"КГУ «Специализированная гимназия для одаренных детей имени Абая» Управления образования Павлодарской области, акимата Павлодарской области";"Павлодар облысы әкімдігі Павлодар облысы білім басқармасының ""Дарынды балаларға арналған Абай атындағы мамандандырылған гимназия"" КММ";"12";"5";"40";"0";"г. Павлодар, ул. Толстого, 95";"Павлодар қаласы,  Толстой көшесі, 95 үй";"8/7182/73-00-15";"abai-gymnasium.edu.kz";"pvl_sch10@mail.ru"
"46";"ГУ «Школа-лицей №8 для одаренных детей» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Дарынды балаларға арналған № 8 лицей-мектебі» ММ";"12";"5";"25";"50";"г. Павлодар, улица Астана,12";"Павлодар қаласы,  Астана көшесі,  12 үй";"8/7182/53-47-14";"http://www.lizey8.edu.kz/";"info@lizey8.kz"
"47";"ГУ «Областная казахская гимназия-интернат для одаренных детей имени Ы. Алтынсарина» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Ы.Алтынсарин атындағы дарынды балаларға арналған облыстық қазақ гимназия-интернаты» ММ";"12";"5";"72";"0";"г.Павлодар, ул. Айманова 35 ";"Павлодар қаласы, . Айманова көшесі , 35 үй ";"8/7182/64-28-35";"www.altynsarin-gymnasium.kz";"gimn-int@mail.ru"
"48";"КГУ «Областная специализированная военная школа-интернат» Управления образования Павлодарской области, акимата Павлодарской области";"Павлодар облысы әкімдігі Павлодар облысы білім басқармасының «Облыстық мамандандырылған әскери мектеп-интернаты» КММ";"12";"10";"25";"25";"Г.Павлодар.,ул. Ломова 180/7";"Павлодар қаласы,  Ломова көшесі, 180/7 үй";"8/7182/21-23-60, 21-25-02";"Patriot.edu.kz ";"askeri_mektep.pvl@mail.ru"
"49";"ГУ «Областной многопрофильный школа-лицей для одаренных детей» Управления образования Павлодарской области, акимата Павлодарской области";"Павлодар облысы әкімдігі Павлодар облысы білім басқармасының «Дарынды балаларға арналған облыстық көпсалалы дарынды балаларға арналған лицей-интернаты» ММ";"12";"7";"50";"25";"г. Павлодар, улица Катаева, 63";" Павлодар қаласы, Катаева көшесі, 63 үй";"8/7182/68-69-71";"https//omliod.kz";"omschlod@mail.ru"
"50";"ГУ «Специализированная школа-лицей №1 для одаренных детей города Экибастуза» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Екібастұз қаласының дарынды балаларға арналған мамандандырылған № 1 лицей-мектебі» ММ";"12";"5";"0";"26";"Павлодарская область, город Экибастуз, улица Абая 25/24";"Павлодар облысы, Екібастұз қаласы, Абай көшесі, 25/24 үй";"8/7187/34-04-83";"Licey1.kz";"scool_1_ek@mail.ru"
"51";"ГУ «Специализированная гимназия для одаренных детей города Аксу» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Ақсу қаласының дарынды балаларға арналған мамандандырылған гимназиясы» ММ";"12";"5";"50";"0";"Павлодарская область, г. Аксу, ул.Ауезова 58";"Павлодар облысы, Ақсу қаласы, Әуезов көшесі. 58 үй";"8/7187/72-44-04";"Aksu-gimnasium.edu.kz";"gimnaziya-aksu-metodkab@mail.ru"
"52";"КГУ «Областная специализированная школа-лицей-интернат для одаренных детей ЛОРД» КГУ «Управления образования Северо-Казахстанской области»";"«Солтүстік Қазақстан облысы әкімдігінің білім басқармасы» КММ «ЛОРД» дарынды балалар үшін мамандандырылған облыстық мектеп-лицей-интернаты» КММ";"13";"5";"0";"30";"г.Петропавловск,  ул Ж.Кизатова, 5";"Петропавл қаласы,   Ж.Кизатова көшесі, 5";"8/7152/46-10-31";"http/lord.ucoz.kz/publ/priem_v_licej/priem_v_licej/55";"lyceunlord@mail.ru"
"53";"КГУ «Областная специализированная гимназия-интернат для одаренных детей имени Абу Досмухамбетова» КГУ «Управления образования Северо-Казахстанской области»";"«Солтүстік Қазақстан облысы әкімдігінің білім басқармасы» КММ «Әбу Досмұхамбетов атындағы облыстық дарынды балаларға арналған мамандандырылған гимназия-интернаты» КММ";"13";"5";"50";"0";"г.Петропавловск. Ул. Семашко, 2";"Петропавл қаласы, Семашко көшесі, 2";"8/7152/50-74-67";"Dosmuhambetov.kz";"Daryn_petropavl@mail.ru"
"54";"КГУ «Областная специализированная гимназия-интернат для одаренных детей имени Абу Досмухамбетова» КГУ «Управления образования Северо-Казахстанской области»";"«Солтүстік Қазақстан облысы әкімдігінің білім басқармасы» КММ «Әбу Досмұхамбетов атындағы облыстық дарынды балаларға арналған мамандандырылған гимназия-интернаты» КММ";"13";"7";"25";"0";"г.Петропавловск Ул. Семашко, 2";"Петропавл қаласы, Семашко көшесі, 2";"8/7152/50-74-67";"Dosmuhambetov.kz";"Daryn_petropavl@mail.ru"
"55";"КГУ «Специализированная школа-интернат с обучением на трех языках Тулькубасского района» Управления развития человеческого потенциала Туркестанской области";"Түркістан облысының адами әлеуетті дамыту басқармасының «Түлкібас ауданының үш тілде оқытатын мамандандырылған мектепинтернаты» КММ";"14";"7";"50";"0";"Туркестанская область, Тюлькубасский район, село Т. Рыскулов, ул. М. Абирова, 1";"Түркістан облысы, Түлкібас ауданы,  Т. Рысқұлов ауданы,  М. Абирова көшесі, 1";"7/7253/87-08-10";"нет";"shkoladaryn_2010@mail. ru"
"56";"КГУ «Специализированная школа-интернат №12 для одаренных детей с обучением на трёх языках имени Маржан Тасовой» Управления развития человеческого потенциала Туркестанской области";"Түркістан облысының адами әлеуетті дамыту басқармасының «Маржан Тасова атындағы үш тілде оқытатын № 12 мамандандырылған мектеп-интернаты» КММ";"14";"7";"75";"0";"г Шымкент, ул. Сапак датка, 6 А";"Шымкент қ., Сапақ датқа көшесі, 6 А";"77075587643";"spezschool12@mail.ru";"spezschool12@mail.ru"
"57";"КГУ «Специализированная школа-интернат «Дарын» имени Нуртаса Ондасынова» Управления развития человеческого потенциала Туркестанской области";"Түркістан облысының адами әлеуетті дамыту басқармасының «Нұртай Оңдасынов атындағы Түркістан «Дарын» мектеп-интернаты» КММ";"14";"7";"75";"0";"Туркестанская область, г.Туркестан, ул.Тауке хана, 5б";"Түркістан облысы, Түркістан қ., ул.Тәуке хан көшесі, 5б";"8/7253/32-63-20";"facebook.com/turkistan.daryn5";"n5_tur_daryn@mail.ru"
"58";"КГУ «Специализированная школа-интернат «Дарын» Казыгуртского района» Управления развития человеческого потенциала Туркестанской области";"Түркістан облысының адами әлеуетті дамыту басқармасының «Қазығұрт ауданының мамандандырылған «Дарын» мектепинтернаты» КММ";"14";"7";"50";"0";"Туркестанская область, Казыгуртский район, ул. Енбекши, 2";"Түркістан облысы, Казығұрт ауданы, . Еңбекші көшесі, 2";"8/7253/ 92-14-67";"Daryn27@mail.ru Facebook";"daryn27@mail.ru"
